id,reason,country,death_num,dollar,year
1,earthquake,INDONESIA,1,0,1950
2,earthquake,NICARAGUA,1000,0,1951
3,earthquake,JAPAN,33,0,1952
4,earthquake,RUSSIA,10000,1,1952
5,earthquake,FIJI,11,0,1953
6,others,USA,8,0,1954
7,earthquake,CHILE,1,0,1955
8,earthquake,GREECE,3,0,1956
9,earthquake,USA,2.5,0,1957
10,earthquake,ECUADOR,4,0,1958
11,earthquake,USA,5,0.1,1958
12,earthquake,CHILE,3726,1000,1960
13,earthquake,PERU,67,0.55,1960
14,others,GREECE,8,0,1963
15,others,CANADA,1,0,1963
16,others,ITALY,2000,0,1963
17,earthquake,USA,124,116,1964
18,earthquake,JAPAN,251,80,1964
19,earthquake,INDONESIA,71,0,1965
20,others,CHILE,27,0,1965
21,earthquake,GREECE,1,0,1965
22,volcano,PHILIPPINES,355,0,1965
23,earthquake,INDONESIA,13,0,1967
24,earthquake,JAPAN,52,0,1968
25,earthquake,PHILIPPINES,1,0,1968
26,earthquake,INDONESIA,229,0,1968
27,earthquake,INDONESIA,600,0,1969
28,volcano,PHILIPPINES,3,0,1969
29,earthquake,PAPUA NEW GUINEA,3,0,1970
30,others,PERU,600,0,1971
31,earthquake,PAPUA NEW GUINEA,1,0,1971
32,earthquake,PHILIPPINES,1,0,1975
33,earthquake,USA,11.5,1.5,1975
34,earthquake,PHILIPPINES,10050,134,1976
35,earthquake,INDONESIA,226.5,1.2,1977
36,volcano,INDONESIA,1255,0,1979
37,earthquake,INDONESIA,100,0,1979
38,others,FRANCE,9,0,1979
39,earthquake,COLOMBIA,10600,8,1979
40,earthquake,JAPAN,262,800,1983
41,earthquake,BANGLADESH,3,0,1988
42,earthquake,SOLOMON ISLANDS,1,0,1988
43,earthquake,COSTA RICA,2,0,1991
44,earthquake,NICARAGUA,414.5,30,1992
45,earthquake,INDONESIA,1419,100,1992
46,earthquake,JAPAN,324.5,1207,1993
47,earthquake,INDONESIA,449.5,2.2,1994
48,earthquake,INDONESIA,27,0,1994
49,others,USA,1,25,1994
50,earthquake,PHILIPPINES,193.5,3.7,1994
51,earthquake,INDONESIA,20.5,0,1995
52,earthquake,MEXICO,1,0,1995
53,earthquake,INDONESIA,40.5,1.2,1996
54,earthquake,INDONESIA,160,4.2,1996
55,earthquake,PERU,40.5,0,1996
56,earthquake,PAPUA NEW GUINEA,2705,0,1998
57,earthquake,TURKEY,155,0,1999
58,earthquake,VANUATU,5,0,1999
59,earthquake,PERU,26,0,2001
60,earthquake,INDONESIA,227899,10000,2004
61,earthquake,INDONESIA,10,0,2005
62,earthquake,INDONESIA,4,0,2006
63,earthquake,INDONESIA,1051,55,2006
64,earthquake,RUSSIA,0.5,0,2006
65,earthquake,SOLOMON ISLANDS,52,0,2007
66,earthquake,CHILE,10,0,2007
67,earthquake,PERU,3,0,2007
68,earthquake,SAMOA,195.5,285,2009
69,earthquake,HAITI,7,0,2010
70,earthquake,CHILE,6156,30000,2010
71,others,PERU,1,0,2010
72,earthquake,INDONESIA,431,39,2010
73,earthquake,JAPAN,21529,220085.456,2011
74,earthquake,CANADA,1,0,2012
75,earthquake,SOLOMON ISLANDS,17.5,0,2013
76,others,USA,1,0,2013
77,earthquake,CHILE,8,0,2015
78,others,IRAN,13,0,2017
