ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
3383,1951,8,3,0,23,58,2,3,100,6,NICARAGUA,,COSIGUINA VOLCANO,13,-87.5,88,,,,,,1000,3,,,,,,3,,,,,1000,3,,,,,,3,,,,
1829,1952,11,4,16,58,27.9,4,1,22,9,RUSSIA,,KAMCHATKA,52.755,160.057,86,18.4,,4.2,4,,10000,4,,,,,1,2,,,,,10000,4,,,,,1,2,,,,
1902,1960,5,22,19,11,17,4,1,33,9.5,CHILE,,SOUTHERN CHILE,-38.143,-73.407,89,25,,4.6,4,,2226,4,3000,4,,,1000,4,58622,4,,,2226,4,,,3000,4,1000,4,58622,4,,
5569,1963,10,9,21,39,,0,8,,,ITALY,,"VAJONT DAM, VAJONT RIVER",46.267,12.329,50,235,,,,,2000,4,,,,,,3,,3,,3,2000,4,,,,,,3,,3,,3
1954,1964,3,28,3,36,14,4,3,33,9.2,USA,AK,"PRINCE WILLIAM SOUND, AK",61.017,-147.648,87,67.1,,6.1,3.5,,124,3,,,,,116,4,,3,,,139,3,,,,,400,4,,3,,
1977,1965,9,28,,,,4,6,,,PHILIPPINES,,"TAAL, LUZON ISLAND",14.002,120.993,84,4.7,,,,,355,3,,,,,,,,,,,355,3,,,,,,1,,1,,
2007,1968,8,14,22,14,19.4,4,1,23,7.8,INDONESIA,,BANDA SEA,0.2,119.8,83,10,,3.3,2.5,,200,3,58,2,,,,3,800,3,,,200,3,,,58,2,,3,800,3,,
2011,1969,2,23,0,36,56.6,4,1,13,6.9,INDONESIA,,MAKASSAR STRAIT,-3.1,118.9,83,4,,2,2,,600,3,,,,,,3,,3,,,664,3,,,97,2,,3,1287,4,,
5535,1971,3,19,,,,0,8,,,PERU,,CHUNGAR,-11.116,-76.5,89,30,,,,,600,3,,,,,,2,,2,,,600,3,,,,,,2,,2,,
2086,1976,8,16,16,11,7.3,4,1,33,8,PHILIPPINES,,MORO GULF,6.292,124.09,84,9,,2.3,2.5,,6800,4,6500,4,,,134,4,,,,,8000,4,,,10000,4,134,4,,,,
2092,1977,8,19,6,8,55.2,4,1,33,8,INDONESIA,,SUNDA ISLANDS,-11.085,118.464,60,15,,3.9,3,,189,3,75,2,,,1.2,2,,,,,189,3,,,75,2,1.2,2,,,,
2115,1979,7,18,,,,4,8,,,INDONESIA,,LOMBLEN ISLAND [LEMBATA],-8.6,123.5,60,9,,,,,1239,4,32,1,,,,3,,3,,,1239,4,,,32,1,,3,,3,,
2119,1979,9,12,5,17,51.4,4,1,5,7.9,INDONESIA,,IRIAN JAYA,-1.679,136.04,83,2,,1,,,100,2,,,,,,2,400,2,,,115,3,,,,3,,3,1000,3,,
2122,1979,12,12,7,59,3.3,4,1,24,7.7,COLOMBIA,,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,89,6,,2.3,2.5,,600,3,20000,4,,,8,3,10000,4,,,600,3,,,20000,4,8,3,10000,4,,
2142,1983,5,26,2,59,59.6,4,1,24,7.8,JAPAN,,"NOSHIRO, JAPAN",40.462,139.102,85,14.93,,3.9,2,,100,2,324,3,,,800,4,3513,4,,,104,3,,,324,3,800,4,3513,4,,
2213,1992,9,2,0,16,2.8,4,1,40,7.7,NICARAGUA,,NICARAGUA,11.727,-87.386,88,9.9,,3.3,2.8,,170,3,489,3,,,30,4,1500,4,,,170,3,,,489,3,30,4,1500,4,,
2214,1992,12,12,5,29,26.3,4,1,28,7.8,INDONESIA,,FLORES SEA,-8.48,121.896,60,26.2,,4.7,2.7,,1169,4,500,3,,,100,4,31785,4,,,2500,4,,,2103,4,100,4,31785,4,,
