ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
799,1852,11,25,22,40,,4,1,100,8.3,INDONESIA,,BANDA SEA,-5.25,129.75,83,8,,3,2.5,,60,2,,,,,,2,,2,,,60,2,,,,,,3,,3,,
835,1854,12,23,0,0,,4,1,,8.3,JAPAN,,ENSHUNADA SEA,34,137.9,85,21,,4,3,,300,3,,,,,,4,8300,4,,,1000,3,,,,,,4,8900,4,,
837,1854,12,24,8,0,,4,1,,8.4,JAPAN,,NANKAIDO,33.1,135,85,28,,4,2.5,,3000,4,,,,,,4,15000,4,,,3000,4,,,,,,4,20000,4,,
904,1861,2,16,,,,4,1,70,8.5,INDONESIA,,SW. SUMATRA,-1,97.5,60,7,,,3,,1105,4,,,,,,2,,,,,1105,4,,,,,,2,,,,
907,1861,3,9,,,,4,1,20,7,INDONESIA,,SW. SUMATRA,0.009,98,60,,,,2,,950,3,,,,,,1,96,1,,,950,3,,,,,,3,96,2,,
934,1864,5,23,,,,3,1,,7.8,INDONESIA,,NW. IRIAN JAYA,-1,135,83,3,,3.6,1.5,,250,3,,,,,,3,,3,,,250,3,,,,,,3,,3,,
967,1867,12,18,,,,4,1,,7,TAIWAN,,E. CHINA SEA,25.34,121.91,84,,,2,2,,80,2,,,,,,2,,2,,,580,3,,,,,,2,,3,,3
983,1868,8,13,21,30,,4,1,25,8.5,CHILE,,NORTHERN CHILE,-18.6,-71,89,18,,4.2,3.5,,25000,4,,,,,,4,,,,,25000,4,,,,,300,4,,,,
1022,1871,3,3,,,,4,6,,,INDONESIA,,RUANG,2.28,125.425,83,25,,4.6,3.5,,400,3,,,,,,2,75,2,,,400,3,,,,,,2,75,2,,
5284,1874,5,,,,,2,1,,,BANGLADESH,,SUNDERBANS,22,89,60,,,,,,2000,4,,,,,,,,,,,2000,4,,,,,,,,,,
1075,1877,5,10,0,59,,4,1,,8.3,CHILE,,NORTHERN CHILE,-21.5,-70.5,89,24,,4.4,3.5,,2282,4,,,,,,3,,3,,,2385,4,,,,,,3,,3,,
1132,1882,9,7,7,50,,4,3,40,7.9,PANAMA,,SAN BLAS ARCHIPELAGO,10,-79,74,3,,,1,,100,2,,,,,,3,,3,,,,3,,,,2,,3,,3,,
1142,1883,8,27,2,59,,4,6,,,INDONESIA,,KRAKATAU,-6.102,105.423,60,41,,5.1,4,,34417,4,,,,,,4,,4,,,36417,4,,,,,,4,,4,,
1234,1896,6,15,10,33,,4,1,,8.3,JAPAN,,SANRIKU,39.5,144,85,38.2,,5.2,3.8,,27122,4,9247,4,,,,4,11000,4,,,27122,4,,,13247,4,,4,11000,4,,
1266,1899,9,29,17,3,,4,3,,7.8,INDONESIA,,BANDA SEA,-3,128.5,83,12,,3.6,3,,2460,4,300,3,,,,3,,,,,2460,4,,,300,3,,3,,,,
1287,1902,2,26,,,,3,1,,7,EL SALVADOR,,EL SALVADOR-GUATEMALA,13.5,-89.5,88,5,,2.3,2,,185,3,100,2,,,,3,,,,,185,3,,,100,2,,3,,,,
3542,1905,1,16,,,,0,8,,,NORWAY,,LOEN,61.866,6.85,73,40.5,,,,,61,2,,,,,,2,,2,,,61,2,,,,,,2,,2,,
1324,1905,7,6,16,21,0,3,1,33,7,JAPAN,,JAPAN:  OFF FUKUSHIMA,37.4,142.6,85,,,-1,,,57,2,,,,,,,,,,,57,2,,,,,,,,,,
1331,1906,1,31,15,35,51,4,1,25,8.8,ECUADOR,,OFF COAST,1,-81.5,89,5,,1,3,,1000,3,,,,,,3,,3,,,1000,3,,,,,,3,,3,,
1349,1907,1,4,5,19,12,4,1,50,7.6,INDONESIA,,NW. SUMATRA,2,94.5,60,,,1.5,2,,400,3,,,,,,3,,3,,,400,3,,,,,,3,,3,,
1373,1908,12,28,4,20,27,4,3,40,7,ITALY,,"MESSINA STRAIT, IONIAN SEA",38.17,15.58,50,13,,,5,,2000,4,,,,,,4,,4,,,80000,4,,,,,116,4,,4,,
2370,1909,9,20,,,,-1,9,,,USA,LA,LOUISIANA: GRAND ISLE,,,75,,,,,,300,3,,,,,,,,,,,300,3,,,,,,,,,,
1392,1911,1,30,,,,4,6,,,PHILIPPINES,,"TAAL, LUZON ISLAND",14.002,120.993,84,3,,,,,50,1,,,,,,1,,1,,,1335,4,,,199,3,,3,543,3,,1
1458,1918,10,11,14,14,30,4,3,,7.3,USA TERRITORY,PR,PUERTO RICO: MONA PASSAGE,18.5,-67.5,74,6.1,,2.6,,,140,3,,,,,4,2,,,,,144,3,,,,,4,2,,,,
1505,1922,11,11,4,32,36,4,1,35,8.7,CHILE,,NORTHERN CHILE,-28.553,-70.755,89,9,,3.2,2.5,,200,3,,,,,,3,,3,,,700,3,,,,,,3,,3,,
1526,1923,9,1,2,58,37,4,1,33,7.9,JAPAN,,SAGAMI BAY,35.1,139.5,85,13,,3.6,3,,2144,4,166,3,,,,3,868,3,,,142807,4,43476,4,47000,4,600,4,695000,4,,
1587,1927,12,1,4,37,27,3,1,,6.3,INDONESIA,,SULAWESI,-0.7,119.7,83,15,,3.9,3,,50,1,50,1,,,,2,,2,,,50,1,,,50,1,,3,,3,,
1607,1928,8,4,,,,4,7,1,,INDONESIA,,FLORES SEA,-8.32,121.708,60,10,,3.3,3,,128,3,,,,,,,,,,,226,3,,,,,,,,,,
3052,1930,5,5,13,45,58,4,1,,7.3,MYANMAR (BURMA),,MYANMAR COAST,17.3,96.5,60,,,,,,500,3,,,,,,3,,3,,,500,3,,,,,,3,,3,,
1645,1931,10,3,19,13,20.8,4,1,35,7.8,SOLOMON ISLANDS,,SAN CRISTOBAL ISLAND,-10.932,161.016,82,9,,3.3,2.5,,50,1,,,,,,3,,3,,,50,1,,,,,,3,,3,,
1652,1932,6,22,12,59,24,4,1,33,7,MEXICO,,CENTRAL MEXICO,19,-104.5,88,10,,3.3,1.5,,75,2,100,2,,,,3,,,,,75,2,,,100,2,,3,400,3,,
1661,1933,3,2,17,31,0.9,4,1,35,8.4,JAPAN,,SANRIKU,39.224,144.622,85,29,,4.9,3.5,,3022,4,,,,,,4,6000,4,,,3022,4,,,,,,4,6000,4,,
3543,1936,9,13,,,,4,8,,,NORWAY,,LOEN,61.87,6.851,73,74,,,,,73,2,,,,,,,,,,,,,,,,,,,,,,
1756,1944,12,7,4,35,,4,1,30,8.1,JAPAN,,OFF SOUTHEAST COAST KII PENINSULA,34,137.1,85,10,,2.9,2.5,,1223,4,2135,4,,,,4,3059,4,,,1223,4,,,2135,4,,3,29205,4,46950,4
1761,1945,11,27,21,56,50,4,3,,8,PAKISTAN,,MAKRAN COAST,24.5,63,60,17,,3.9,,,4000,4,,,,,25,4,,,,,4000,4,,,,,25,4,,,,
1762,1946,4,1,12,29,1.3,4,3,15,8.6,USA,AK,"UNIMAK ISLAND, AK",53.492,-162.832,87,42,,5.1,4,,167,3,,,,,26.046,4,,3,,,167,3,,,,,26.046,4,,3,,
1765,1946,8,4,17,51,5,4,1,15,7.9,DOMINICAN REPUBLIC,,NORTHEASTERN COAST,19.25,-69,74,5,,2.2,,,1790,4,,,,,,3,,3,,,1790,4,,,,,,3,,3,,
1766,1946,8,8,13,28,33.8,4,1,15,7.5,DOMINICAN REPUBLIC,,NORTHEASTERN COAST,19.5,-69.5,74,0.6,,,,,75,2,,,,,,,,,,,75,2,,,,,,,,,,
1770,1946,12,20,19,19,5,4,1,20,8.1,JAPAN,,HONSHU: S COAST,33,135.6,85,6.6,,2.7,2.5,,1362,4,,,,,,4,1451,4,,,1362,4,,,,,,4,11661,4,,
3383,1951,8,3,0,23,58,2,3,100,6,NICARAGUA,,COSIGUINA VOLCANO,13,-87.5,88,,,,,,1000,3,,,,,,3,,,,,1000,3,,,,,,3,,,,
1829,1952,11,4,16,58,27.9,4,1,22,9,RUSSIA,,KAMCHATKA,52.755,160.057,86,18.4,,4.2,4,,10000,4,,,,,1,2,,,,,10000,4,,,,,1,2,,,,
1902,1960,5,22,19,11,17,4,1,33,9.5,CHILE,,SOUTHERN CHILE,-38.143,-73.407,89,25,,4.6,4,,2226,4,3000,4,,,1000,4,58622,4,,,2226,4,,,3000,4,1000,4,58622,4,,
1907,1960,11,20,22,1,56.4,3,1,93,6.8,PERU,,N. PERU,-6.8,-80.7,89,9,,3.2,4,,66,2,2,1,,,0.55,1,,,,,66,2,,,2,1,0.55,1,,,,
5569,1963,10,9,21,39,,0,8,,,ITALY,,"VAJONT DAM, VAJONT RIVER",46.267,12.329,50,235,,,,,2000,4,,,,,,3,,3,,3,2000,4,,,,,,3,,3,,3
1954,1964,3,28,3,36,14,4,3,33,9.2,USA,AK,"PRINCE WILLIAM SOUND, AK",61.017,-147.648,87,67.1,,6.1,3.5,,124,3,,,,,116,4,,3,,,139,3,,,,,400,4,,3,,
1963,1965,1,24,0,11,12.1,4,1,6,7.6,INDONESIA,,SANANA ISLAND,-2.4,126.1,83,,,2,2,,71,2,,,,,,4,3000,4,,,71,2,,,,,,2,3000,4,,
1977,1965,9,28,,,,4,6,,,PHILIPPINES,,"TAAL, LUZON ISLAND",14.002,120.993,84,4.7,,,,,355,3,,,,,,,,,,,355,3,,,,,,1,,1,,
2000,1968,5,16,0,48,55.4,4,1,7,8.2,JAPAN,,OFF EAST COAST OF HONSHU ISLAND,40.8,143.2,85,6,,2.3,2,,52,2,,1,,,,3,529,3,,,52,2,,,330,3,131,4,1218,4,,
2007,1968,8,14,22,14,19.4,4,1,23,7.8,INDONESIA,,BANDA SEA,0.2,119.8,83,10,,3.3,2.5,,200,3,58,2,,,,3,800,3,,,200,3,,,58,2,,3,800,3,,
2011,1969,2,23,0,36,56.6,4,1,13,6.9,INDONESIA,,MAKASSAR STRAIT,-3.1,118.9,83,4,,2,2,,600,3,,,,,,3,,3,,,664,3,,,97,2,,3,1287,4,,
5535,1971,3,19,,,,0,8,,,PERU,,CHUNGAR,-11.116,-76.5,89,30,,,,,600,3,,,,,,2,,2,,,600,3,,,,,,2,,2,,
2086,1976,8,16,16,11,7.3,4,1,33,8,PHILIPPINES,,MORO GULF,6.292,124.09,84,9,,2.3,2.5,,6800,4,6500,4,,,134,4,,,,,8000,4,,,10000,4,134,4,,,,
2092,1977,8,19,6,8,55.2,4,1,33,8,INDONESIA,,SUNDA ISLANDS,-11.085,118.464,60,15,,3.9,3,,189,3,75,2,,,1.2,2,,,,,189,3,,,75,2,1.2,2,,,,
2115,1979,7,18,,,,4,8,,,INDONESIA,,LOMBLEN ISLAND [LEMBATA],-8.6,123.5,60,9,,,,,1239,4,32,1,,,,3,,3,,,1239,4,,,32,1,,3,,3,,
2119,1979,9,12,5,17,51.4,4,1,5,7.9,INDONESIA,,IRIAN JAYA,-1.679,136.04,83,2,,1,,,100,2,,,,,,2,400,2,,,115,3,,,,3,,3,1000,3,,
2122,1979,12,12,7,59,3.3,4,1,24,7.7,COLOMBIA,,"COLOMBIA: OFF SHORE, PACIFIC OCEAN",1.598,-79.358,89,6,,2.3,2.5,,600,3,20000,4,,,8,3,10000,4,,,600,3,,,20000,4,8,3,10000,4,,
2142,1983,5,26,2,59,59.6,4,1,24,7.8,JAPAN,,"NOSHIRO, JAPAN",40.462,139.102,85,14.93,,3.9,2,,100,2,324,3,,,800,4,3513,4,,,104,3,,,324,3,800,4,3513,4,,
2213,1992,9,2,0,16,2.8,4,1,40,7.7,NICARAGUA,,NICARAGUA,11.727,-87.386,88,9.9,,3.3,2.8,,170,3,489,3,,,30,4,1500,4,,,170,3,,,489,3,30,4,1500,4,,
2214,1992,12,12,5,29,26.3,4,1,28,7.8,INDONESIA,,FLORES SEA,-8.48,121.896,60,26.2,,4.7,2.7,,1169,4,500,3,,,100,4,31785,4,,,2500,4,,,2103,4,100,4,31785,4,,
2219,1993,7,12,13,17,11.9,4,1,17,7.7,JAPAN,,SEA OF JAPAN,42.851,139.197,85,32,,5,3.1,,208,3,233,3,,,1207,4,2374,4,,,231,3,,,233,3,1207,4,2374,4,,
2227,1994,6,2,18,17,34,4,1,18,7.8,INDONESIA,,SOUTH OF JAVA,-10.477,112.835,60,13.9,,3.7,2.5,,238,3,423,3,,,2.2,2,1500,4,,,238,3,,,423,3,2.2,2,1500,4,,
2234,1994,11,14,19,15,30.6,4,1,32,7.1,PHILIPPINES,,PHILIPPINE ISLANDS,13.525,121.067,84,7.3,,2.9,2.1,,81,2,225,3,,,3.7,2,797,3,3288,4,81,2,,,225,3,3.7,2,797,3,3288,4
2260,1996,2,17,5,59,30.5,4,1,33,8.2,INDONESIA,,IRIAN JAYA,-0.891,136.952,83,7.7,,2.9,1.8,,110,3,100,2,,,4.2,2,,4,,,164,3,,,432,2,4.2,2,5043,4,,
2281,1998,7,17,8,49,16.1,4,3,25,7,PAPUA NEW GUINEA,,PAPUA NEW GUINEA,-2.943,142.582,82,15.03,,,,,2205,4,1000,3,28,1,,3,,,,,2205,4,28,1,1000,3,,3,,,,
2326,1999,8,17,0,1,39.1,4,1,13,7.6,TURKEY,,"KOCAELI, TURKEY",40.76,29.97,50,2.52,,,,,155,3,,,,,,2,,,,,17118,4,,,50000,4,20000,4,,,50000,4
2439,2004,12,26,0,58,53.4,4,1,30,9.1,INDONESIA,,OFF W. COAST OF SUMATRA,3.316,95.854,60,50.9,,,,4,227899,4,,3,,,10000,4,,3,,,227899,4,,,,3,10000,4,,3,,
2832,2006,7,17,8,19,28.7,4,1,34,7.7,INDONESIA,,SOUTH OF JAVA,-9.254,107.411,60,20.9,,,,,802,3,498,3,,,55,4,1623,4,,,802,3,,,498,3,55,4,1623,4,,
3037,2007,4,1,20,39,56.3,4,1,10,8.1,SOLOMON ISLANDS,,SOLOMON ISLANDS,-8.46,157.044,82,12.1,,,,1,52,2,,,,,,3,2500,4,,,54,2,,,,,,3,2500,4,500,3
4440,2009,9,29,17,48,10.9,4,1,18,8.1,SAMOA,,SAMOA ISLANDS,-15.489,-172.095,81,22.35,,,,,192,3,7,1,,,285,4,,,,,192,3,,,7,1,285,4,,,,
4682,2010,2,27,6,34,11.5,4,1,23,8.8,CHILE,,CENTRAL CHILE,-36.122,-72.898,89,29,,,,,156,3,12000,4,,,30000,4,,,,,558,3,,,12000,4,30000,4,,,500000,4
5342,2010,10,25,14,42,22,4,1,20,7.8,INDONESIA,,SUMATRA,-3.487,100.082,60,16.9,,,,,431,3,,,,,39,4,700,3,,,431,3,,,,,39,4,700,3,,
5413,2011,3,11,5,46,24.1,4,1,30,9.1,JAPAN,,HONSHU ISLAND,38.297,142.372,85,38.9,,,,,18453,4,6152,4,,,220085.456,4,127511,4,273796,4,18453,4,,,6152,4,220085.456,4,127511,4,273796,4
