I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,FOCAL_DEPTH,EQ_PRIMARY,EQ_MAG_MW,EQ_MAG_MS,EQ_MAG_MB,EQ_MAG_ML,EQ_MAG_MFA,EQ_MAG_UNK,INTENSITY,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
6588,Tsu,1950,1,30,0,56,32,33,7,,7,,,,,6,CHILE,,CHILE:  SOUTHERN,-53.5,-71.5,160,,1,,,,,,,,,,,,1,,,,,,,,,,
6361,Tsu,1950,3,14,18,10,41,,5.8,,5.8,,,,,,NEW ZEALAND,,N. NEW ZEALAND,-37.8,177.2,170,,,,,,,,,,,,,,,,,,,,,,,,
10123,Tsu,1950,4,30,23,49,24,,,,,,,,,,PANAMA,,PANAMA,6.5,-83,100,,,,,,,,,,,,,,,,,,,,,,,,
3948,Tsu,1950,8,3,22,18,    ,8,6.8,,,,,,6.8,,VENEZUELA,,VENEZUELA: EL TOCUYO,10.5,-68,90,100,2,,,,,,,,,,,,,,,,,,,,,,
3950,Tsu,1950,8,15,14,9,30,33,8.6,8.6,8.6,8,,,,11,INDIA,,INDIA-CHINA,28.5,96.5,60,1530,4,,,,,20,3,,,,,1530,4,,,,,20,3,,,,
3954,Tsu,1950,10,5,16,9,31,60,7.7,,7.7,,,,,,COSTA RICA,,COSTA RICA-NICARAGUA,11,-85,100,,,,,,3,,1,,,,,,,,,,3,,1,,,,
3955,Tsu,1950,10,8,3,23,9,60,7.6,,7.6,,,,,,INDONESIA,,INDONESIA:  SERAM,-3.8,128.3,170,,,,,,,,,,,,,1,1,,,,,,3,,3,,3
6362,Tsu,1950,10,23,16,13,20,65,7.5,7.5,7.1,,,,,,GUATEMALA,,GUATEMALA:  SAN MARCOS,14.31,-91.917,100,,,,,,,,3,,3,,3,,,,,,,,3,,3,,
6363,Tsu,1950,11,8,2,18,12,33,7.3,,7.3,,,,,,SOLOMON ISLANDS,,SOLOMON ISLANDS:  SOLOMON SEA,-10,159.5,170,,,,,,,,,,,,,,,,,,,,,,,,
3962,Tsu,1950,12,10,2,50,42,80,7,,7,,,,,,PERU,,"PERU:  ICA,CHIMBOTE,HUARAZ,CAJAMARCA,CUZCO,MOQUEGUA",-14.25,-75.75,160,4,1,,,12,1,,2,,2,,,4,1,,,12,1,,2,,2,,
