ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1809,1950,10,8,3,23,9,3,1,,7.6,INDONESIA,,JAVA TRENCH,-3.8,128.3,83,,,1.5,2,,1,1,,,,,,3,,3,,3,1,1,,,,,,3,,3,,3
3383,1951,8,3,0,23,58,2,3,100,6,NICARAGUA,,COSIGUINA VOLCANO,13,-87.5,88,,,,,,1000,3,,,,,,3,,,,,1000,3,,,,,,3,,,,
1817,1952,3,4,1,22,41,4,1,45,8.1,JAPAN,,SE. HOKKAIDO ISLAND,42.15,143.85,85,6.54,,2.7,2,,33,1,,3,,,,3,,3,,,33,1,,,572,3,,3,2422,4,,
1829,1952,11,4,16,58,27.9,4,1,22,9,RUSSIA,,KAMCHATKA,52.755,160.057,86,18.4,,4.2,4,,10000,4,,,,,1,2,,,,,10000,4,,,,,1,2,,,,
1840,1953,9,14,0,26,36,4,3,33,6.4,FIJI,,FIJI ISLANDS,-18.3,178.2,81,15,,1,1,,5,1,12,1,,,,1,,1,,,7,1,,,12,1,,2,,2,,
2461,1954,6,26,,,,0,9,,,USA,IN,"MICHIGAN CITY, IN (LAKE MICHIGAN)",41.7,-86.883,75,3,,,,,8,1,,,,,,,,,,,7,1,,,,,,,,,,
1849,1955,4,19,20,24,5,4,1,30,7.1,CHILE,,CENTRAL CHILE,-30,-72,89,1,,,1,,1,1,,,,,,1,,1,,,1,1,,,,,,1,,1,,
1859,1956,7,9,3,11,39,4,1,20,7.8,GREECE,,CYCLADES,36.9,26,50,30,,5,5,,3,1,,,,,,2,,,,,56,2,,,,,,3,,,,
1867,1957,3,9,14,22,31.9,4,1,33,8.6,USA,AK,"ANDREANOF ISLANDS, AK",51.292,-175.629,87,22.8,,3.9,3,,2,1,1,1,,,,3,,1,,,2,1,,,1,1,,3,,1,,
1877,1958,1,19,14,7,27,4,1,60,7.6,ECUADOR,,COLOMBIA-ECUADOR,1.5,-79.5,89,,,,2,,4,1,,,,,,1,,1,,,115,3,,,46,1,,2,,2,,
