id,reason,country,death_num,dollar,year
2,earthquake,NICARAGUA,1000,0,1951
4,earthquake,RUSSIA,10000,1,1952
12,earthquake,CHILE,3726,1000,1960
16,others,ITALY,2000,0,1963
17,earthquake,USA,124,116,1964
18,earthquake,JAPAN,251,80,1964
22,volcano,PHILIPPINES,355,0,1965
26,earthquake,INDONESIA,229,0,1968
27,earthquake,INDONESIA,600,0,1969
30,others,PERU,600,0,1971
34,earthquake,PHILIPPINES,10050,134,1976
35,earthquake,INDONESIA,226.5,1.2,1977
36,volcano,INDONESIA,1255,0,1979
39,earthquake,COLOMBIA,10600,8,1979
40,earthquake,JAPAN,262,800,1983
44,earthquake,NICARAGUA,414.5,30,1992
45,earthquake,INDONESIA,1419,100,1992
46,earthquake,JAPAN,324.5,1207,1993
47,earthquake,INDONESIA,449.5,2.2,1994
50,earthquake,PHILIPPINES,193.5,3.7,1994
54,earthquake,INDONESIA,160,4.2,1996
56,earthquake,PAPUA NEW GUINEA,2705,0,1998
57,earthquake,TURKEY,155,0,1999
60,earthquake,INDONESIA,227899,10000,2004
63,earthquake,INDONESIA,1051,55,2006
68,earthquake,SAMOA,195.5,285,2009
70,earthquake,CHILE,6156,30000,2010
72,earthquake,INDONESIA,431,39,2010
73,earthquake,JAPAN,21529,220085.456,2011
