ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
1803,1950,1,30,0,56,32,1,1,33,7,CHILE,,SOUTHERN CHILE,-53.5,-71.5,89,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
1804,1950,3,14,18,10,41,2,1,,5.8,NEW ZEALAND,,N. NEW ZEALAND,-37.8,177.2,81,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
5579,1950,4,30,23,49,24,0,,,,PANAMA,,OFF COAST,6.5,-83,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,1950,8,3,,,,2,1,,6.8,VENEZUELA,,EL TOCUYO,10.5,-68,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1806,1950,8,15,14,9,30,0,1,33,8.6,INDIA,,INDIA-CHINA,28.5,96.5,60,0.5,,,,,,,,,,,,,,,,,1530,4,,,,,20,3,,,,
1808,1950,10,5,16,9,31,4,1,33,7.7,COSTA RICA,,COSTA RICA-NICARAGUA,11,-85,88,0.1,,-3.3,-2,,,,,,,,,,,,,,,,,,,3,,1,,,,
1809,1950,10,8,3,23,9,3,1,,7.6,INDONESIA,,JAVA TRENCH,-3.8,128.3,83,,,1.5,2,,1,1,,,,,,3,,3,,3,1,1,,,,,,3,,3,,3
4256,1950,10,8,,,,0,8,,,NORWAY,,MID-NORWAY,63.433,10.383,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1810,1950,10,23,16,13,20,4,1,65,7.5,GUATEMALA,,GUATEMALA,14.31,-91.917,88,0.2,,-1.3,-1,,,,,,,,,,,,,,,,,,,,,3,,3,,
1811,1950,11,8,2,18,12,3,1,33,7.3,SOLOMON ISLANDS,,SOLOMON SEA,-10,159.5,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1812,1950,12,10,2,50,42,2,1,80,7,PERU,,S. PERU,-14.25,-77.75,89,0.7,,-0.5,0,,,,,,,,,,,,,,4,1,,,12,1,,2,,2,,
1813,1950,12,14,14,15,49,4,1,50,7.5,MEXICO,,S. MEXICO,16.48,-98.22,88,0.3,,-1.5,,,,,,,,,,,,,,,,,,,,,,3,,,,
3145,1951,2,22,1,45,42,2,1,,,PAPUA NEW GUINEA,,BISMARCK SEA,-3.7,142.2,82,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,1951,2,23,16,45,,0,8,,,USA,WA,"COLUMBIA RIVER VALLEY, WA",,,88,3,,1.6,,,,,,,,,,,,,,,,,,,,,0.003,1,,,,
3383,1951,8,3,0,23,58,2,3,100,6,NICARAGUA,,COSIGUINA VOLCANO,13,-87.5,88,,,,,,1000,3,,,,,,3,,,,,1000,3,,,,,,3,,,,
1815,1951,8,21,10,57,0,4,1,12,6.9,USA,HI,HAWAII,19.5,-156,80,3.6,,1.8,0.5,,,,,,,,,1,,,,,,,,,,,,1,,,,
3310,1951,10,22,5,43,1,4,1,21,7.3,TAIWAN,,TAIWAN,23.8,121.7,84,0.3,,,,,,,,,,,,,,,,,68,2,,,586,3,,3,2382,4,,
3571,1951,12,21,8,37,29,0,1,,6.3,CHINA,,CHINA: GANSU AND SHANXI PROVINCES,26.7,100,84,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,1951,12,22,,,,3,6,,,SOLOMON ISLANDS,,KAVACHI,-9.02,157.95,82,,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,
4239,1952,1,9,8,,,4,8,,,NORWAY,,MID-NORWAY,64.883,12.417,73,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
1817,1952,3,4,1,22,41,4,1,45,8.1,JAPAN,,SE. HOKKAIDO ISLAND,42.15,143.85,85,6.54,,2.7,2,,33,1,,3,,,,3,,3,,,33,1,,,572,3,,3,2422,4,,
1818,1952,3,9,17,4,0,4,1,20,7,JAPAN,,SE. HOKKAIDO ISLAND,41.7,143.6,85,0.3,,-1.7,-2,,,,,,,,,,,,,,,,,,17,1,,2,113,3,,
1819,1952,3,17,3,58,0,4,1,33,4.5,USA,HI,HAWAII,19.1,-155,80,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
1820,1952,3,19,10,57,12,4,1,25,7.8,PHILIPPINES,,"E. OF MINDANO, PHILIPPINES",9.5,127.25,84,0.33,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
1821,1952,4,10,,,,0,8,,,USA,WA,"COLUMBIA RIVER VALLEY, WA",,,88,19.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,1952,5,6,,,,0,9,,,USA,MI,"LAKE HURON, MI",43.1,-82.4,75,1.52,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
