YEAR,MONTH,DAY,TSU,EQ,NAME,LOCATION,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,TYPE,STATUS,TIME,VEI,AGENT,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
1951,8,3,TSU,EQ,Cosiguina,Nicaragua,Nicaragua,12.98,-87.57,872,Stratovolcano,Historical,D3,,,,,,,,,,,,,1000,3,,,,,,3,,
1951,,,TSU,,Kavachi,Solomon Is-SW Pacifi,Solomon Is.,-9.02,157.95,-20,Submarine volcano,Historical,D1,2,,,,,,,,,,,,,,,,,,,,,
1952,9,16,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown,2,,,,,,,,,,,,,,,,,,,,,
1952,9,23,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown,2,,,,,,,,,,,,,,,,,,,,,
1952,9,24,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown,2,P,31,1,,,,,,1,,,31,1,,,,,,1,,
1952,9,26,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown,2,,,,,,,,,,,,,,,,,,,,,
1953,3,11,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown,2,,,,,,,,,,,,,,,,,,,,,
1953,3,25,TSU,,Myojun Knoll,Izu Is-Japan,Japan,32.1,139.85,360,Submarine volcano,Holocene,Unknown,2,,,,,,,,,,,,,,,,,,,,,
1953,6,27,TSU,,St. Andrew Strait,Admiralty Is-SW Paci,Papua New Guinea,-2.38,147.35,270,Complex volcano,Historical,D2,0,,,,,,,,,,,,,,,,,,,1,,
1954,2,,TSU,,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,Historical,D1,,,,,,,,,,,,,,,,,,,,,,
1956,3,30,TSU,,Bezymianny,Kamchatka,Russia,55.978,160.587,2882,Stratovolcano,Historical,D1,5,,,,,,,,,,,,,,,,,,,,,
1958,10,7,TSU,,Kuwae,Vanuatu-SW Pacific,Vanuatu,-16.829,168.536,-2,Caldera,Historical,D1,2,,,,,,,,,,,,,,,,,,,,,
1960,5,25,TSU,EQ,Puyehue,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,Holocene,U,3,,,,,,,,,,,,,,,,,,,,,
1963,3,17,TSU,,Agung,Lesser Sunda Is,Indonesia,-8.342,115.508,3142,Stratovolcano,Historical,D1,4,"P,T,M,A",1028,4,,3,624,3,,,,,1028,4,,3,624,3,,,,
1965,9,28,TSU,,Taal,Luzon-Philippines,Philippines,14.002,120.993,400,Stratovolcano,Historical,D1,4,"P,W",355,3,,,,,,1,,1,355,3,,,,,,1,,1
1966,1,13,TSU,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,Historical,D1,3,,,,,,,,,,,,,,,,,,,,,
1967,12,4,TSU,,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576,Caldera,Historical,D1,3,,,,,,,,,,,,,,,,,,,,,
1969,3,21,TSU,,Didicas,Luzon-N of,Philippines,19.077,122.202,244,Compound volcano,Historical,D1,2,W,,,,,,,,,,,3,1,,,,,,,,
1971,9,6,TSU,,Tinakula,Santa Cruz Is-SW Pac,Solomon Is.,-10.38,165.8,851,Stratovolcano,Historical,D1,2,,,,,,,,,,,,,,,,,,,,,
1972,10,9,TSU,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140,Stratovolcano,Historical,D1,1,,,,,,,,,,,,,,,,,,,,,
1974,10,17,TSU,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5.52,148.121,140,Stratovolcano,Historical,D1,1,,,,,,,,,,,,,,,,,,,,,
1975,11,29,TSU,EQ,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,0,W,,,,,,,,,,,2,1,,,,1,4,2,,
1980,5,18,TSU,EQ,St. Helens,US-Washington,United States,46.2,-122.18,2549,Stratovolcano,Historical,D1,5,"P,M,T",57,2,,,,,2000,4,,,57,2,,,,,2000,4,,
1983,8,17,TSU,,Iliwerung,Lesser Sunda Is,Indonesia,-8.54,123.59,1018,Complex volcano,Historical,D1,1,W,,,,,,,,,,,,,,,,,,,,
1994,9,19,TSU,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4.271,152.203,688,Pyroclastic shield,Historical,D1,3,T,4,1,,,,,35,4,,,,,,,,,,,,
1996,1,2,TSU,,Karymsky,Kamchatka,Russia,54.05,159.43,1536,Stratovolcano,Historical,D1,2,,,,,,,,,,,,,,,,,,,,,
1997,12,26,TSU,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,,,,,,,,,,,,,,,,,,,,,,
1999,1,20,TSU,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,3,,,,,,,,,,,,,,,,,,,,,
2000,6,27,TSU,EQ,Miyake-jima,Izu Is-Japan,Japan,34.08,139.53,815,Stratovolcano,Historical,D1,2,,,,,,,,,1,,,1,1,,,,3,,1,,
2002,12,30,TSU,,Stromboli,Italy,Italy,38.789,15.213,926,Stratovolcano,Historical,D1,,,,,,,,1,,1,,1,,,,,,1,,1,,1
2003,7,12,TSU,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,3,,,,,,,,,,,,,,,,,,,,,
2006,5,20,TSU,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,Historical,D1,2,P,,,,,,,,,,,,,,,,,,,,
2008,8,8,TSU,,Kasatochi,Aleutian Is,United States,52.18,-175.5,314,Stratovolcano,Historical,D1,3,,,,,,,,,,,,,,,,,,,,,
2010,5,29,TSU,EQ,Sarigan,Mariana Is-C Pacific,United States,16.708,145.78,538,Stratovolcano,Holocene,U,,,,,,,,,,,,,,,,,,,,,,
