I_D,TSEVENT_ID,YEAR,LATITUDE,LONGITUDE
11444,3354,1850,43.55,10.31
11562,3357,1850,43.55,10.31
680,775,1851,36.62,29.13
11649,778,1851,36.167,28
682,780,1851,-5.45,105.267
684,781,1851,36.68,-121.65
685,781,1851,37.807,-122.465
686,783,1851,-27.067,-70.833
687,783,1851,-28.467,-71.22
11650,3372,1851,,
689,784,1851,40.472,19.474
690,785,1851,37.71,-122.27
25365,5454,1852,-5.45,105.27
11651,786,1852,38.4188,27.12866
692,788,1852,20,-75.817
25398,790,1852,14.55,121
6949,794,1852,1,97.9
25367,794,1852,1.729,98.785
25366,794,1852,2.28,97.79
25370,796,1852,-3.617,128.25
29171,799,1852,-3.35,128.93
29172,799,1852,-2.8,129.5
29170,799,1852,-3.548,128.555
29169,799,1852,-3.62,128.49
29168,799,1852,-3.588,128.7
29161,799,1852,-4.54,129.9
29160,799,1852,-7.73,113.015
29163,799,1852,-3.75,127.94
29162,799,1852,-3.585,128.085
29164,799,1852,-3.575,128.66
29167,799,1852,-3.584,128.62
29166,799,1852,-3.51,128.56
29165,799,1852,-3.575,128.65
693,798,1852,37.807,-122.465
698,799,1852,-3.68,128.2
699,799,1852,-3.567,128.65
694,799,1852,-3.683,128.183
10827,799,1852,-3.6743,128.7757
10830,799,1852,7.4,147.2
10828,799,1852,-3.3,127.1
10826,799,1852,-3.6,128.417
695,799,1852,-4.529,129.9
10829,799,1852,-4.53,129.77
16146,802,1852,31.9,-115
700,803,1852,16.833,-99.917
25321,804,1852,-3.683,128.187
25322,804,1852,-3.567,128.65
25323,804,1852,-3.6,128.417
25324,804,1852,-3.6743,128.7757
25318,804,1852,-3.4,129.5
25320,804,1852,-4.74,131.73
25319,804,1852,-4.011786,131.41183
702,807,1853,,
7781,807,1853,10.47,-64.18
6691,807,1853,10.47,-64.14
6690,807,1853,10.47,-64.19
706,808,1853,38.6,23.2
25683,5475,1853,26.217,127.667
707,810,1853,32.715,-117.174
7080,810,1853,46.85,151.87
11652,3376,1853,,
31958,811,1853,-21.15,-175.12
16569,811,1853,-21.1,-175.35
701,805,1853,58.64,-137.57
25431,815,1854,-3.54,128.56
709,818,1854,57.75,-152.48
710,818,1854,19.733,-155.067
712,819,1854,34.42,-119.68
713,823,1854,32.715,-117.174
17401,825,1854,8.65,-83.15
715,826,1854,32.715,-117.174
25432,827,1854,0.8,127.38
716,828,1854,37.807,-122.465
717,829,1854,37.807,-122.465
720,2667,1854,37.807,-122.465
16378,835,1854,33.367,133.283
16386,835,1854,35.083,136.95
16393,835,1854,35.65,139.8
16382,835,1854,33.717,136
16383,835,1854,33.917,136.15
16384,835,1854,33.9,136.117
16385,835,1854,34.89,132.08
744,835,1854,33.517,135.833
747,835,1854,34.58,136.53
750,835,1854,34.2,136.333
752,835,1854,34.83,135.93
753,835,1854,34.2,136.333
754,835,1854,33.933,136.183
756,835,1854,34.667,135.5
758,835,1854,37.883,139.167
760,835,1854,34.79,139.39
761,835,1854,35.017,138.483
762,835,1854,34.667,138.95
763,835,1854,34.683,138.2
764,835,1854,34.483,136.817
767,835,1854,34.717,136.517
769,835,1854,34.5,136.9
770,835,1854,34.8,137.067
16387,835,1854,34.79,137.07
16388,835,1854,35.37,136.04
16389,835,1854,,
16390,835,1854,34.767,137.383
16391,835,1854,35.117,138.8
16392,835,1854,35.05,138.517
723,835,1854,32.715,-117.174
724,835,1854,37.807,-122.465
725,835,1854,,
727,835,1854,27.0939,142.195
729,835,1854,35.02,136.84
731,835,1854,35.7,136.48
733,835,1854,34.667,137.8
734,835,1854,34.67,138.97
736,835,1854,34.733,138.217
737,835,1854,34.8,137.65
739,835,1854,33.517,133.75
742,835,1854,34.25,136.8
745,835,1854,34.683,137.617
746,835,1854,34.68,137.64
743,835,1854,34.25,136.467
749,835,1854,35.14,139.619
755,835,1854,34.217,136.4
28248,835,1854,34.25,136.846
28249,835,1854,34.25,136.846
28250,835,1854,34.25,136.846
28251,835,1854,34.3,136.83
28252,835,1854,34.783,137.132
28246,835,1854,34.67,137.2
28247,835,1854,35.31,139.48
28263,835,1854,34.33,136.87
28264,835,1854,34.18,136.317
28265,835,1854,34.37,135.27
28266,835,1854,33.54,133.74
28253,835,1854,34.74,137.32
28254,835,1854,34.74,137.32
28255,835,1854,34.74,137.32
28256,835,1854,35.16,136.9
28257,835,1854,32.77,132.64
28258,835,1854,34.25,136.846
28259,835,1854,34.25,136.846
28260,835,1854,34.74,137.32
28261,835,1854,34.74,137.32
28262,835,1854,34.74,137.32
7956,835,1854,46.208,-123.767
740,835,1854,34.88,139.08
16379,835,1854,33.333,133.25
16380,835,1854,33.733,135.367
16381,835,1854,33.633,135.933
19610,837,1854,33.54,133.45
782,837,1854,34.71,135.48
19519,837,1854,34.76,134.39
19520,837,1854,35.35,139.65
19521,837,1854,34.98,137.17
19522,837,1854,34.01,134.59
